"city","country","pop2024","latitude","longitude"
"Goniri","Nigeria",11673,11.4845,12.3126
"Bara","Nigeria",11673,10.3744,10.7288
"Uba","Nigeria",11648,10.4551,13.2223
"Anka","Nigeria",11641,12.1135,5.92681
"Omoku","Nigeria",11625,5.34388,6.65684
"Kafarati","Nigeria",11535,10.383,11.0957
"Bin Yauri","Nigeria",11501,10.7823,4.81135
"Maru","Nigeria",11496,12.3336,6.40372
"Gagarawa","Nigeria",11450,12.4085,9.52881
"Gujba","Nigeria",11359,11.4996,11.934
"Opi","Nigeria",11237,6.78223,7.43319
"Mallammaduri","Nigeria",11156,12.5643,9.95727
"Twon-Brass","Nigeria",11122,4.31231,6.24091
"Dekina","Nigeria",11067,7.68967,7.0438
"Bebeji","Nigeria",10987,11.6677,8.262
"Arochukwu","Nigeria",10776,5.38941,7.91235
"Takai","Nigeria",10748,11.5757,9.1088
"Panyam","Nigeria",10715,9.40756,9.21481
"Koton-Karfe","Nigeria",10709,8.0912,6.79782
"Katagum","Nigeria",10602,12.2851,10.3503
"Zaki Biam","Nigeria",10470,7.50671,9.6104
"Goronyo","Nigeria",10460,13.4423,5.67234
"Etinan","Nigeria",10318,4.84262,7.85252
"Aliade","Nigeria",10292,7.29627,8.48278
"Wawa","Nigeria",10200,9.90222,4.41917
"Gabarin","Nigeria",10160,11.1093,10.4441
"Gwandu","Nigeria",10018,12.502,4.64295
"Madara","Nigeria",10015,11.7798,10.4479
"Maiyama","Nigeria",10014,12.0822,4.36907
"Wagini","Nigeria",9986,12.6878,7.19579
"Buga","Nigeria",9913,8.49056,7.34139
"Benisheikh","Nigeria",9825,11.8092,12.4915
"Ete","Nigeria",9805,7.08956,7.45341
"Bugana","Nigeria",9737,7.99917,7.58361
"Danja","Nigeria",9736,11.3771,7.56097
"Kankara","Nigeria",9609,11.9311,7.41115
"Amagunze","Nigeria",9598,6.33063,7.65247
"Alapa","Nigeria",9584,8.61667,4.38333
"Yuli","Nigeria",9549,9.69707,10.2735
"Kura","Nigeria",9537,11.7723,8.42631
"Tsafe","Nigeria",9367,11.9578,6.92083
"Orlu","Nigeria",9351,5.79565,7.03513
"Birniwa","Nigeria",9334,12.7907,10.2361
"Shinkafi","Nigeria",9324,13.073,6.50574
"Ejirin","Nigeria",9204,6.61423,3.90019
"Holma","Nigeria",9199,9.89863,13.0545
"Wuyo","Nigeria",9189,10.3852,11.6968
"Ifaki","Nigeria",9185,7.78942,5.24852
"Ogurugu","Nigeria",9135,6.78636,6.95017
"Kwatarkwashi","Nigeria",9084,12.1408,6.82196
"Mahuta","Nigeria",9047,11.5534,4.98138
"Dambatta","Nigeria",8940,12.435,8.51531
"Baissa","Nigeria",8911,7.23087,10.6244
"Musawa","Nigeria",8904,12.1295,7.67023
"Mberubu","Nigeria",8904,6.1731,7.63017
"Ruma","Nigeria",8857,12.8626,7.23469
"Igabi","Nigeria",8840,10.806,7.71443
"Rabah","Nigeria",8707,13.1226,5.50762
"Imeko","Nigeria",8627,7.44888,2.84289
"Bokani","Nigeria",8624,9.43333,5.2
"Agbabu","Nigeria",8611,6.58862,4.8343
"Auna","Nigeria",8590,10.1881,4.72318
"Ochobo","Nigeria",8567,7.18045,7.9824
"Orodo","Nigeria",8527,5.61667,7.03333
"Owode","Nigeria",8513,6.94851,3.50561
"Kibiya","Nigeria",8500,11.528,8.66108
"Hunkuyi","Nigeria",8465,11.2668,7.64916
"Bomadi","Nigeria",8402,5.16073,5.92375
"Bena","Nigeria",8361,11.2844,5.93472
"Umunede","Nigeria",8331,6.26549,6.30962
"Badeggi","Nigeria",8283,9.0563,6.143
"Sade","Nigeria",8223,11.3595,10.6732
"Isara","Nigeria",8205,6.99345,3.68148
"Adoru","Nigeria",8203,6.97694,7.16262
"Kwolla","Nigeria",8200,8.90361,9.29086
"Wasagu","Nigeria",8157,11.3764,5.79536
"Ngurore","Nigeria",8139,9.28871,12.2403
"Samamiya","Nigeria",8087,11.3487,9.63989
"Duku","Nigeria",8014,11.2361,4.90727
"Suya","Nigeria",7936,9.46667,3.18333
"Siluko","Nigeria",7920,6.53589,5.16005
"Dan Gora","Nigeria",7907,11.5349,8.15224
"Mashi","Nigeria",7845,12.9804,7.94703
"Hinna","Nigeria",7826,10.3043,11.4991
"Iho","Nigeria",7776,5.58225,7.09896
"Yandev","Nigeria",7750,7.36308,9.04235
"Konkwesso","Nigeria",7687,10.8469,4.09835
"Ilare","Nigeria",7685,7.35067,5.11333
"Ifon","Nigeria",7623,6.92973,5.77368
"Dan Sadau","Nigeria",7568,11.2962,6.4952
"Kuta","Nigeria",7528,9.86864,6.71042
"Mando","Nigeria",7500,10.7167,6.56667
"Zadawa","Nigeria",7495,11.4496,10.3672
"Idi Iroko","Nigeria",7487,6.63333,2.73333
