city_id,city,country,population,latitude,longitude,region
358,Dambatta,Nigeria,8940,12.435,8.51531,North
359,Baissa,Nigeria,8911,7.23087,10.6244,South
360,Musawa,Nigeria,8904,12.1295,7.67023,North
361,Mberubu,Nigeria,8904,6.1731,7.63017,South
362,Ruma,Nigeria,8857,12.8626,7.23469,North
363,Igabi,Nigeria,8840,10.806,7.71443,North
364,Rabah,Nigeria,8707,13.1226,5.50762,North
365,Imeko,Nigeria,8627,7.44888,2.84289,South
366,Bokani,Nigeria,8624,9.43333,5.2,South
367,Agbabu,Nigeria,8611,6.58862,4.8343,South
368,Auna,Nigeria,8590,10.1881,4.72318,North
369,Ochobo,Nigeria,8567,7.18045,7.9824,South
370,Orodo,Nigeria,8527,5.61667,7.03333,South
371,Owode,Nigeria,8513,6.94851,3.50561,South
372,Kibiya,Nigeria,8500,11.528,8.66108,North
373,Hunkuyi,Nigeria,8465,11.2668,7.64916,North
374,Bomadi,Nigeria,8402,5.16073,5.92375,South
375,Bena,Nigeria,8361,11.2844,5.93472,North
376,Umunede,Nigeria,8331,6.26549,6.30962,South
377,Badeggi,Nigeria,8283,9.0563,6.143,South
378,Sade,Nigeria,8223,11.3595,10.6732,North
379,Isara,Nigeria,8205,6.99345,3.68148,South
380,Adoru,Nigeria,8203,6.97694,7.16262,South
381,Kwolla,Nigeria,8200,8.90361,9.29086,South
382,Wasagu,Nigeria,8157,11.3764,5.79536,North
383,Ngurore,Nigeria,8139,9.28871,12.2403,South
384,Samamiya,Nigeria,8087,11.3487,9.63989,North
385,Duku,Nigeria,8014,11.2361,4.90727,North
386,Suya,Nigeria,7936,9.46667,3.18333,South
387,Siluko,Nigeria,7920,6.53589,5.16005,South
388,Dan Gora,Nigeria,7907,11.5349,8.15224,North
389,Mashi,Nigeria,7845,12.9804,7.94703,North
390,Hinna,Nigeria,7826,10.3043,11.4991,North
391,Iho,Nigeria,7776,5.58225,7.09896,South
392,Yandev,Nigeria,7750,7.36308,9.04235,South
393,Konkwesso,Nigeria,7687,10.8469,4.09835,North
394,Ilare,Nigeria,7685,7.35067,5.11333,South
395,Ifon,Nigeria,7623,6.92973,5.77368,South
396,Dan Sadau,Nigeria,7568,11.2962,6.4952,North
397,Kuta,Nigeria,7528,9.86864,6.71042,South
398,Mando,Nigeria,7500,10.7167,6.56667,North
399,Zadawa,Nigeria,7495,11.4496,10.3672,North
400,Idi Iroko,Nigeria,7487,6.63333,2.73333,South
